
Device: cuda

=== Model: ConvTran ===

--- Dataset BIDMC32SpO2 ---
/home/labic/miniconda3/envs/merlin_thesis/lib/python3.12/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4322.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/labic/miniconda3/envs/merlin_thesis/lib/python3.12/site-packages/torch/nn/modules/conv.py:543: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at /pytorch/aten/src/ATen/native/Convolution.cpp:1027.)
  return F.conv2d(
Epoch 212/2000 | Train Loss: 0.001786
Epoch 213/2000 | Train Loss: 0.001565
Epoch 214/2000 | Train Loss: 0.001429
Epoch 215/2000 | Train Loss: 0.001969
Epoch 216/2000 | Train Loss: 0.001801
Epoch 217/2000 | Train Loss: 0.002103
Epoch 218/2000 | Train Loss: 0.001795
Epoch 219/2000 | Train Loss: 0.002468
Epoch 220/2000 | Train Loss: 0.002196
Epoch 221/2000 | Train Loss: 0.001716
Epoch 222/2000 | Train Loss: 0.001502
Epoch 223/2000 | Train Loss: 0.001244
Epoch 224/2000 | Train Loss: 0.001689
Epoch 225/2000 | Train Loss: 0.001477
Epoch 226/2000 | Train Loss: 0.001453
Epoch 227/2000 | Train Loss: 0.001693
Epoch 228/2000 | Train Loss: 0.001670
Epoch 229/2000 | Train Loss: 0.002323
Epoch 230/2000 | Train Loss: 0.002034
Epoch 231/2000 | Train Loss: 0.001576
Epoch 232/2000 | Train Loss: 0.001492
Epoch 233/2000 | Train Loss: 0.001547
Epoch 234/2000 | Train Loss: 0.001418
Epoch 235/2000 | Train Loss: 0.001460
Epoch 236/2000 | Train Loss: 0.001356
Epoch 237/2000 | Train Loss: 0.001686
Epoch 238/2000 | Train Loss: 0.001558
Epoch 239/2000 | Train Loss: 0.001772
Epoch 240/2000 | Train Loss: 0.001613
Epoch 241/2000 | Train Loss: 0.001824
Epoch 242/2000 | Train Loss: 0.001322
Epoch 243/2000 | Train Loss: 0.001252
Epoch 244/2000 | Train Loss: 0.001294
Epoch 245/2000 | Train Loss: 0.001202
Epoch 246/2000 | Train Loss: 0.001367
Epoch 247/2000 | Train Loss: 0.001500
Epoch 248/2000 | Train Loss: 0.001305
Epoch 249/2000 | Train Loss: 0.001726
Epoch 250/2000 | Train Loss: 0.001513
Epoch 251/2000 | Train Loss: 0.001331
Epoch 252/2000 | Train Loss: 0.001223
Epoch 253/2000 | Train Loss: 0.001338
Epoch 254/2000 | Train Loss: 0.001643
Epoch 255/2000 | Train Loss: 0.001402
Epoch 256/2000 | Train Loss: 0.001226
Epoch 257/2000 | Train Loss: 0.001140
Epoch 258/2000 | Train Loss: 0.001183
Epoch 259/2000 | Train Loss: 0.001535
Epoch 260/2000 | Train Loss: 0.001590
Epoch 261/2000 | Train Loss: 0.001426
Epoch 262/2000 | Train Loss: 0.001575
Epoch 263/2000 | Train Loss: 0.001452
Epoch 264/2000 | Train Loss: 0.001741
Epoch 265/2000 | Train Loss: 0.001444
Epoch 266/2000 | Train Loss: 0.001338
Epoch 267/2000 | Train Loss: 0.001483
Epoch 268/2000 | Train Loss: 0.001433
Epoch 269/2000 | Train Loss: 0.001749
Epoch 270/2000 | Train Loss: 0.001133
Epoch 271/2000 | Train Loss: 0.001165
Epoch 272/2000 | Train Loss: 0.001230
Epoch 273/2000 | Train Loss: 0.001109
Epoch 274/2000 | Train Loss: 0.000976
Epoch 275/2000 | Train Loss: 0.001064
Epoch 276/2000 | Train Loss: 0.001136
Epoch 277/2000 | Train Loss: 0.001679
Epoch 278/2000 | Train Loss: 0.001265
Epoch 279/2000 | Train Loss: 0.001433
Epoch 280/2000 | Train Loss: 0.001313
Epoch 281/2000 | Train Loss: 0.001326
Epoch 282/2000 | Train Loss: 0.001275
Epoch 283/2000 | Train Loss: 0.001242
Epoch 284/2000 | Train Loss: 0.001223
Epoch 285/2000 | Train Loss: 0.001044
