model,dataset,mse,mae,r2,rmse,best_train_loss,time,run
FCN,BeijingPM25Quality,7116.133913805547,57.39378302373146,0.4388472615284298,84.35718057050951,2.1107882734792587,10066.870500326157,20251016_161100_run3_1598936485
FCN,BeijingPM25Quality,7323.347287548408,57.16704793371225,0.42250715979170517,85.57655804920181,2.981212064471295,6410.305148363113,20251016_161100_run4_1914698265
FCN,Covid3Month,0.0036007624812780217,0.05136692002568333,-0.808245629566146,0.06000635367424038,7.568907915681069e-05,66.48701548576355
FCN,Covid3Month,0.002029888912130166,0.032372658744026894,-0.019377915913344035,0.04505428849876742,2.0475155127184866e-06,42.43718600273132,20251016_161135_run1_1836992453
FCN,Covid3Month,0.0026350815760259444,0.03769226146281743,-0.32329604303919135,0.051333045653126255,9.160003823386173e-07,78.7207145690918,20251016_161135_run2_2014781866
FCN,Covid3Month,0.0019601223439945368,0.033817418507437726,0.015657744610508173,0.044273268955370086,1.054016703554745e-06,112.40506792068481,20251016_161135_run3_710133242
FCN,Covid3Month,0.0024548942903224835,0.03618547408917888,-0.23280885495867532,0.049546889814825745,2.270647032024239e-06,76.01262307167053,20251016_161135_run4_1512906648
FCN,HouseholdPowerConsumption1,38512.19886187363,109.14445019880468,0.8555803879578269,196.245251819945,10113.698154362417,368.4002516269684
FCN,HouseholdPowerConsumption1,43771.59829426953,122.68230857793513,0.8358577949081376,209.21663006144976,286.41492764261744,896.7362687587738,20251016_161135_run1_1836992453
FCN,HouseholdPowerConsumption1,45013.61431612454,111.54096424614376,0.8312002713876087,212.1641211801009,444.0333407613255,957.0764219760895,20251016_161135_run2_2014781866
FCN,HouseholdPowerConsumption1,38607.84109539937,126.05872998084688,0.8552217323975413,196.48878109296564,151.71304497430788,1845.9839315414429,20251016_161135_run3_710133242
FCN,HouseholdPowerConsumption1,36339.843306060226,113.37937062266269,0.8637266573441438,190.63012171758226,99.1918223541055,2752.7416548728943,20251016_161135_run4_1512906648
FCN,FloodModeling2,0.0002206925145705061,0.010784608881864974,0.3557870942389999,0.014855723293414768,3.938597674199776e-05,342.52415442466736
FCN,FloodModeling2,0.00023212200674915475,0.011300753375784081,0.3224238132862717,0.015235550753062875,2.1928559683084434e-06,132.05510687828064,20251016_161135_run1_1836992453
FCN,FloodModeling2,0.0001586024875581196,0.005216391154782689,0.5370311060636497,0.01259374795516091,1.8805663939499843e-06,172.20084071159363,20251016_161135_run2_2014781866
FCN,FloodModeling2,0.00016566186066294437,0.004839394890253816,0.5164244295320026,0.012870969686194757,2.0347433571138893e-06,150.6272678375244,20251016_161135_run3_710133242
FCN,FloodModeling2,0.0002740277517577766,0.01115609334772499,0.20009876835839235,0.016553783608522152,1.950219943220732e-06,150.88226461410522,20251016_161135_run4_1512906648
FCN,IEEEPPG,1557.2869546283464,32.891007727887256,-0.6117553946481085,39.46247527244517,6.669233973749083,2305.086681365967
FCN,IEEEPPG,1416.829568232513,30.760799505624426,-0.46638530112177734,37.640796594021666,0.19609834745998297,3079.1619894504547,20251016_161135_run1_1836992453
FCN,IEEEPPG,1684.2171662689877,34.26385045913329,-0.7431251802535197,41.039214981149286,0.229541465572642,2763.154184103012,20251016_161135_run2_2014781866
FCN,IEEEPPG,1756.621239363946,34.91876243683229,-0.8180616940787095,41.912065558308456,0.5851020822427931,966.7406706809998,20251016_161135_run3_710133242
FCN,IEEEPPG,1554.1741908092486,32.524840211293785,-0.6085337572595813,39.42301600346235,0.3442008177079766,1628.7535586357117,20251016_161135_run4_1512906648
FCN,BIDMC32SpO2,30.85940614897038,3.9858636510228056,-0.4041959956431753,5.555124314447911,0.05167154139897845,14833.518520832062
FCN,BIDMC32SpO2,29.7773713866607,4.03255862720612,-0.35496015250843427,5.456864611355196,0.0014356845597157607,28045.83428287506,20251016_161207_run1_34873917
FCN,BIDMC32SpO2,33.72437017908263,4.089249792572059,-0.5345604945361513,5.807268736599213,0.0007870855304907571,29814.420857191086,20251018_113724_run1_1527327892
FCN,BIDMC32SpO2,31.28793177173219,4.171217119758355,-0.423695203133035,5.593561635642553,0.0016877257008407567,10544.696420431137,20251018_113724_run2_1802454374
FCN,BIDMC32SpO2,32.39381517597561,4.148945695909672,-0.47401623135990745,5.691556480961567,0.001067765224557202,15528.859748363495,20251018_113724_run3_191865857
FCN,BIDMC32HR,52.90799365217686,5.3413019025261175,0.732399275308731,7.27378812257938,0.4677895536508646,6137.958312749863
FCN,BIDMC32HR,58.41148303161391,5.554349866694538,0.7045634485346144,7.642740544569985,0.008382413306751766,31365.225870609283,20251016_161207_run1_34873917
FCN,BIDMC32HR,57.814476882998434,5.580788135727329,0.707583016410594,7.603583160786659,0.011932389183087392,19181.744698047638,20251018_113724_run1_1527327892
FCN,BIDMC32HR,54.20802147187278,5.292001550125052,0.7258239288883678,7.362609691669984,0.011205164547170604,12025.932099580765,20251018_113724_run2_1802454374
FCN,BIDMC32HR,53.11514854000908,5.523058571284788,0.7313515168457722,7.2880140326435345,0.007967773253719012,18450.438944339752,20251018_113724_run3_191865857
FCN,BIDMC32RR,16.587895627473564,3.297323505199666,-0.3685844937897682,4.072824035908446,0.21469102314808014,25379.886538267136
FCN,BIDMC32RR,15.62615159803812,3.3112264420897723,-0.28923579307210456,3.952992739436555,0.006760041204062747,31704.544528245926,20251016_161207_run1_34873917
FCN,BIDMC32RR,16.539156282900997,3.467076991686676,-0.3645632536808652,4.0668361514697144,0.004485491726883171,39126.742654800415,20251018_113724_run1_1527327892
FCN,BIDMC32RR,14.288888235205775,3.028450045599546,-0.17890486601621425,3.7800645808247477,0.007842598275627565,13530.831279993057,20251018_113724_run2_1802454374
FCN,BIDMC32RR,14.104622880807417,3.0658223906274933,-0.16370205111818747,3.755612184558919,0.008361657833899425,14857.840480566025,20251018_113724_run3_191865857
FCN,NewsHeadlineSentiment,0.028701870887785044,0.13136088039783264,-0.4185717059746139,0.16941626512169675,0.008516505650868708,32639.224987268448
FCN,NewsHeadlineSentiment,0.028113872636285158,0.12994924591259227,-0.3895102665304253,0.16767191964155823,0.0002642259057514756,34638.74762606621,20251018_113946_run1_240634027
FCN,NewsHeadlineSentiment,0.028395712838149713,0.1305301486054444,-0.40344003917606086,0.16851027517083259,0.00025980874744647384,32673.245428085327,20251018_113946_run2_274589183
FCN,NewsHeadlineSentiment,0.02826924775636447,0.1300565563875267,-0.3971895829770309,0.16813461201181767,0.00025192155127402995,47346.976899147034,20251021_090528_run1_1088231328
